(Class Part, Value Part, Line Number)
<===================================>
(class,class,1)
(ID,Parent,1)
({,{,1)
(DT,int,2)
(ID,number,2)
(;,;,2)
(ID,Parent,4)
((,(,4)
(DT,int,4)
(ID,a,4)
(),),4)
({,{,4)
(Refer,this,5)
(dot,.,5)
(ID,number,5)
(Assignment Operator,=,5)
(ID,a,5)
(;,;,5)
(},},6)
(DT,int,8)
(ID,sum,8)
((,(,8)
(DT,int,8)
(ID,y,8)
(),),8)
({,{,8)
(return,return,10)
(int-const,1,10)
(;,;,10)
(},},11)
(},},13)
(class,class,14)
(ID,A,14)
(extends,extends,14)
(ID,Parent,14)
({,{,14)
(DT,int,16)
(ID,rollno,16)
(;,;,16)
(String,String,17)
(ID,name,17)
(;,;,17)
(ID,A,20)
((,(,20)
(String,String,20)
(ID,name,20)
(),),20)
({,{,20)
(Refer,super,21)
((,(,21)
(String-const,"kh",21)
(),),21)
(;,;,21)
(Refer,this,22)
(dot,.,22)
(ID,name,22)
(Assignment Operator,=,22)
(ID,name,22)
(;,;,22)
(},},25)
(ID,A,28)
((,(,28)
(),),28)
({,{,28)
(Refer,this,30)
((,(,30)
(String-const,"sum",30)
(),),30)
(;,;,30)
(},},32)
(String,String,34)
(ID,x,34)
(;,;,34)
(static,static,35)
(DT,int,35)
(ID,y,35)
(;,;,35)
(static,static,37)
(ID,Parent,37)
(ID,fn,37)
((,(,37)
(DT,int,37)
(ID,a,37)
(),),37)
({,{,37)
(DT,float,38)
(ID,x,38)
(Assignment Operator,=,38)
(int-const,4,38)
(;,;,38)
(while,while,39)
((,(,39)
(ID,x,39)
(Relational Operator,<,39)
(int-const,7,39)
(),),39)
({,{,39)
(DT,int,40)
(ID,a,40)
(Assignment Operator,=,40)
(ID,x,40)
(MDM,*,40)
(int-const,3,40)
(;,;,40)
(if,if,41)
((,(,41)
(ID,a,41)
(Relational Operator,<,41)
(int-const,10,41)
(),),41)
({,{,41)
(DT,int,42)
(ID,a,42)
(Assignment Operator,=,42)
(int-const,1,42)
(;,;,42)
(ID,x,43)
(Compound Assignment,+=,43)
(ID,a,43)
(;,;,43)
(},},45)
(else,else,46)
({,{,46)
(ID,x,47)
(Compound Assignment,+=,47)
(int-const,2,47)
(;,;,47)
(},},48)
(},},49)
(ID,Parent,50)
(ID,p,50)
(Assignment Operator,=,50)
(new,new,50)
(ID,Parent,50)
((,(,50)
(),),50)
(;,;,50)
(return,return,51)
(ID,p,51)
(;,;,51)
(},},52)
(String,String,54)
(ID,fn,54)
((,(,54)
(DT,int,54)
(ID,x,54)
(,,,,54)
(DT,int,54)
(ID,b,54)
(),),54)
({,{,54)
(Refer,super,55)
(dot,.,55)
(ID,number,55)
(Assignment Operator,=,55)
(int-const,5,55)
(;,;,55)
(ID,x,56)
(Compound Assignment,+=,56)
(ID,b,56)
(;,;,56)
(return,return,57)
(String-const,"kh",57)
(;,;,57)
(},},58)
(},},60)
(class,class,62)
(ID,B,62)
({,{,62)
(DT,int,63)
(ID,y,63)
(Assignment Operator,=,63)
(int-const,6,63)
(;,;,63)
(static,static,65)
(ID,A,65)
(ID,cl,65)
((,(,65)
(),),65)
({,{,65)
(ID,A,66)
(ID,a,66)
(Assignment Operator,=,66)
(new,new,66)
(ID,A,66)
((,(,66)
(),),66)
(;,;,66)
(return,return,67)
(ID,a,67)
(;,;,67)
(},},68)
(},},69)
(class,class,71)
(ID,C,71)
(extends,extends,71)
(ID,B,71)
({,{,71)
(Access Modifier,public,73)
(static,static,73)
(void,void,73)
(main,main,73)
((,(,73)
(),),73)
({,{,73)
(ID,A,75)
(ID,a,75)
(Assignment Operator,=,75)
(new,new,75)
(ID,A,75)
((,(,75)
(String-const,"sum",75)
(),),75)
(;,;,75)
(ID,B,76)
(ID,b,76)
(Assignment Operator,=,76)
(new,new,76)
(ID,B,76)
((,(,76)
(),),76)
(;,;,76)
(DT,int,79)
(ID,z,79)
(Assignment Operator,=,79)
(int-const,4,79)
(PM,+,79)
(int-const,5,79)
(MDM,*,79)
(int-const,6,79)
(MDM,/,79)
(int-const,5,79)
(PM,+,79)
(ID,a,79)
(dot,.,79)
(ID,rollno,79)
(;,;,79)
(DT,int,80)
(ID,n,80)
(;,;,80)
(String,String,81)
(ID,value,81)
(Assignment Operator,=,81)
(String-const,"zero",81)
(PM,+,81)
(String-const,"value",81)
(;,;,81)
(while,while,83)
((,(,83)
(ID,z,83)
(PM,+,83)
(int-const,4,83)
(),),83)
({,{,83)
(ID,a,84)
(dot,.,84)
(ID,x,84)
(Assignment Operator,=,84)
(String-const,"mul",84)
(;,;,84)
(DT,int,85)
(ID,z,85)
(;,;,85)
(if,if,87)
((,(,87)
(ID,n,87)
(PM,+,87)
(int-const,2,87)
(Relational Operator,<,87)
(ID,z,87)
(Relational Operator,==,87)
(int-const,7,87)
(PM,+,87)
(ID,a,87)
(dot,.,87)
(ID,rollno,87)
(),),87)
({,{,87)
(DT,int,88)
(ID,K,88)
(;,;,88)
(ID,b,89)
(dot,.,89)
(ID,y,89)
(Assignment Operator,=,89)
(int-const,9,89)
(;,;,89)
(},},90)
(else,else,91)
({,{,91)
(DT,int,92)
(ID,K,92)
(;,;,92)
(},},93)
(},},94)
(if,if,97)
((,(,97)
(ID,n,97)
(Relational Operator,==,97)
(int-const,4,97)
(),),97)
({,{,97)
(},},99)
(ID,a,101)
(dot,.,101)
(ID,x,101)
(Assignment Operator,=,101)
(String-const,"kh",101)
(;,;,101)
(ID,B,102)
(dot,.,102)
(ID,cl,102)
((,(,102)
(),),102)
(dot,.,102)
(ID,rollno,102)
(Assignment Operator,=,102)
(int-const,4,102)
(;,;,102)
(ID,B,103)
(dot,.,103)
(ID,cl,103)
((,(,103)
(),),103)
(dot,.,103)
(ID,rollno,103)
(IncDec,++,103)
(;,;,103)
(if,if,106)
((,(,106)
(ID,z,106)
(Relational Operator,<,106)
(int-const,4,106)
(),),106)
({,{,106)
(DT,int,106)
(ID,jj,106)
(;,;,106)
(},},106)
(else,else,107)
({,{,107)
(},},107)
(ID,a,109)
(dot,.,109)
(ID,fn,109)
((,(,109)
(int-const,4,109)
(),),109)
(;,;,109)
(ID,a,110)
(dot,.,110)
(ID,fn,110)
((,(,110)
(int-const,5,110)
(,,,,110)
(int-const,6,110)
(),),110)
(;,;,110)
(ID,B,112)
(dot,.,112)
(ID,cl,112)
((,(,112)
(),),112)
(dot,.,112)
(ID,fn,112)
((,(,112)
(int-const,4,112)
(),),112)
(dot,.,112)
(ID,number,112)
(Assignment Operator,=,112)
(int-const,4,112)
(;,;,112)
(ID,B,113)
(dot,.,113)
(ID,cl,113)
((,(,113)
(),),113)
(dot,.,113)
(ID,fn,113)
((,(,113)
(int-const,4,113)
(,,,,113)
(int-const,7,113)
(),),113)
(;,;,113)
(},},116)
(},},118)
($,$,121)
